L,U,T
150,154.0,14
148,155.0,17
87,93.0,16
170,176.0,13
170,179.0,17
157,164.0,13
157,164.0,13
134,139.0,17
133,141.0,15
126,131.0,15
138,144.0,13
156,166.0,139
129,141.0,16
130,137.0,17
188,inf,169
176,181.0,169
149,166.0,14
157,167.0,14
146,152.0,26
105,112.0,28
153,162.0,38
151,161.0,21
179,185.0,15
51,inf,27
159,168.0,21
124,130.0,28
122,127.0,25
135,139.0,14
147,153.0,16
159,166.0,26
172,179.0,13
164,172.0,17
164,172.0,76
158,164.0,13
188,inf,4
174,183.0,104
157,163.0,13
176,183.0,15
153,158.0,146
140,145.0,13
129,133.0,13
73,inf,18
99,104.0,16
139,147.0,18
149,158.0,15
176,182.0,15
110,119.0,15
181,190.0,14
109,115.0,14
181,187.0,13
172,184.0,13
134,140.0,14
115,118.0,13
153,159.0,16
163,170.0,16
121,130.0,13
134,143.0,112
129,135.0,15
132,140.0,17
107,111.0,17
187,inf,164
170,175.0,14
139,146.0,15
170,179.0,26
121,128.0,3
150,154.0,18
160,166.0,25
157,163.0,27
134,139.0,27
79,86.0,26
135,139.0,19
184,inf,18
166,170.0,20
157,168.0,20
161,168.0,20
118,121.0,26
164,173.0,26
127,135.0,13
157,163.0,15
126,133.0,13
158,165.0,13
49,inf,25
156,162.0,26
158,163.0,15
155,158.0,15
158,164.0,15
122,130.0,26
143,150.0,17
